driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
40122560,0,0,53,26301,78,72
40122812,0,0,53,27341,79,74
40123065,0,27,53,25543,78,76
40123317,0,35,53,25824,75,74
40123570,0,27,53,25727,75,72
40123823,0,23,53,25630,76,73
40124075,0,23,53,25258,74,68
40124327,0,0,53,25938,76,73
40124581,0,0,52,23735,71,67
40124833,0,0,53,23622,68,66
40125085,0,0,53,23997,68,65
40125338,0,0,53,23553,68,65
40125590,0,0,52,23892,65,62
40125843,0,0,52,24282,68,65
40126095,0,0,53,23914,67,64
40126348,0,0,53,23246,69,66
40126601,0,0,52,23141,67,64
40126853,0,0,53,24460,68,65
40127106,0,0,52,25708,78,76
40127358,0,0,53,27350,87,88
40127610,0,0,53,28569,49,77
40127861,0,0,53,26698,88,81
40128115,0,0,53,26391,76,74
40128367,0,0,53,28860,72,80
40128619,0,0,53,24266,78,70
40128872,0,0,53,24557,73,71
40129124,0,0,53,25503,69,67
40129376,0,0,53,26642,67,65
40129629,0,21,53,24844,67,64
40129882,0,35,52,23799,66,64
40130134,0,28,53,25156,75,71
40130387,0,24,53,25253,78,74
40130639,0,24,53,26857,78,74
40130891,0,0,53,40557,75,21
40131144,0,0,53,41881,46,20
40131396,0,0,53,42822,52,21
40131648,0,0,53,39898,46,20
40131901,0,0,53,39872,43,19
40132153,0,0,53,40827,43,19
40132405,0,0,53,41767,43,19
40132658,0,0,53,41600,43,19
40132910,0,0,53,41020,43,19
40133162,0,0,53,40467,43,19
40133414,0,0,53,39605,43,18
40133667,0,0,53,39688,43,18
40133918,0,0,54,40150,43,19
40134171,0,0,53,41020,43,18
40134423,0,0,53,41878,43,19
40134675,0,0,54,41310,43,19
40134928,0,0,54,40643,43,19
40135180,0,0,54,38131,43,19
40135432,0,0,54,39824,43,19
40135685,0,0,54,40730,43,19
40135937,0,0,54,41310,43,19
40136189,0,0,54,42239,44,19
